grp,circle,role,ord,kind,probe,readable,sqlstate
doseproof,1,admin,1,objects,dose-proof,0,ok
doseproof,1,admin,1,predicate,med#1,1,ok
doseproof,1,admin,1,predicate,med#10,1,ok
doseproof,1,admin,1,predicate,med#2,1,ok
doseproof,1,admin,1,predicate,med#3,1,ok
doseproof,1,admin,1,predicate,med#4,1,ok
doseproof,1,admin,1,predicate,med#5,1,ok
doseproof,1,admin,1,predicate,med#6,1,ok
doseproof,1,admin,1,predicate,med#7,1,ok
doseproof,1,admin,1,predicate,med#8,1,ok
doseproof,1,admin,1,predicate,med#9,1,ok
doseproof,1,family_member,1,objects,dose-proof,0,ok
doseproof,1,family_member,1,predicate,med#1,1,ok
doseproof,1,family_member,1,predicate,med#10,0,ok
doseproof,1,family_member,1,predicate,med#2,0,ok
doseproof,1,family_member,1,predicate,med#3,1,ok
doseproof,1,family_member,1,predicate,med#4,1,ok
doseproof,1,family_member,1,predicate,med#5,1,ok
doseproof,1,family_member,1,predicate,med#6,0,ok
doseproof,1,family_member,1,predicate,med#7,0,ok
doseproof,1,family_member,1,predicate,med#8,0,ok
doseproof,1,family_member,1,predicate,med#9,1,ok
doseproof,1,family_member,2,objects,dose-proof,0,ok
doseproof,1,family_member,2,predicate,med#1,0,ok
doseproof,1,family_member,2,predicate,med#10,1,ok
doseproof,1,family_member,2,predicate,med#2,0,ok
doseproof,1,family_member,2,predicate,med#3,0,ok
doseproof,1,family_member,2,predicate,med#4,0,ok
doseproof,1,family_member,2,predicate,med#5,0,ok
doseproof,1,family_member,2,predicate,med#6,1,ok
doseproof,1,family_member,2,predicate,med#7,1,ok
doseproof,1,family_member,2,predicate,med#8,0,ok
doseproof,1,family_member,2,predicate,med#9,0,ok
doseproof,1,primary_caregiver,1,objects,dose-proof,0,ok
doseproof,1,primary_caregiver,1,predicate,med#1,1,ok
doseproof,1,primary_caregiver,1,predicate,med#10,1,ok
doseproof,1,primary_caregiver,1,predicate,med#2,1,ok
doseproof,1,primary_caregiver,1,predicate,med#3,1,ok
doseproof,1,primary_caregiver,1,predicate,med#4,1,ok
doseproof,1,primary_caregiver,1,predicate,med#5,1,ok
doseproof,1,primary_caregiver,1,predicate,med#6,1,ok
doseproof,1,primary_caregiver,1,predicate,med#7,1,ok
doseproof,1,primary_caregiver,1,predicate,med#8,1,ok
doseproof,1,primary_caregiver,1,predicate,med#9,1,ok
doseproof,1,remote_member,1,objects,dose-proof,0,ok
doseproof,1,remote_member,1,predicate,med#1,1,ok
doseproof,1,remote_member,1,predicate,med#10,1,ok
doseproof,1,remote_member,1,predicate,med#2,1,ok
doseproof,1,remote_member,1,predicate,med#3,1,ok
doseproof,1,remote_member,1,predicate,med#4,1,ok
doseproof,1,remote_member,1,predicate,med#5,1,ok
doseproof,1,remote_member,1,predicate,med#6,1,ok
doseproof,1,remote_member,1,predicate,med#7,1,ok
doseproof,1,remote_member,1,predicate,med#8,1,ok
doseproof,1,remote_member,1,predicate,med#9,1,ok
