grp,circle,role,ord,kind,probe,visible,sqlstate
core,1,admin,1,table,care_appointments,12,ok
core,1,admin,1,table,care_recipients,1,ok
core,1,admin,1,table,care_tasks,36,ok
core,1,admin,1,table,daily_care_logs,3,ok
core,1,admin,1,table,doctors,1,ok
core,1,admin,1,table,emergency_contacts,1,ok
core,1,admin,1,table,family_visits,7,ok
core,1,admin,1,table,medication_logs,21,ok
core,1,admin,1,table,medication_schedules,11,ok
core,1,admin,1,table,medications,10,ok
core,1,admin,1,table,vital_readings,2,ok
core,1,family_member,1,table,care_appointments,5,ok
core,1,family_member,1,table,care_recipients,1,ok
core,1,family_member,1,table,care_tasks,10,ok
core,1,family_member,1,table,daily_care_logs,3,ok
core,1,family_member,1,table,doctors,1,ok
core,1,family_member,1,table,emergency_contacts,1,ok
core,1,family_member,1,table,family_visits,3,ok
core,1,family_member,1,table,medication_logs,11,ok
core,1,family_member,1,table,medication_schedules,11,ok
core,1,family_member,1,table,medications,10,ok
core,1,family_member,1,table,vital_readings,2,ok
core,1,family_member,2,table,care_appointments,4,ok
core,1,family_member,2,table,care_recipients,1,ok
core,1,family_member,2,table,care_tasks,14,ok
core,1,family_member,2,table,daily_care_logs,3,ok
core,1,family_member,2,table,doctors,1,ok
core,1,family_member,2,table,emergency_contacts,1,ok
core,1,family_member,2,table,family_visits,2,ok
core,1,family_member,2,table,medication_logs,6,ok
core,1,family_member,2,table,medication_schedules,11,ok
core,1,family_member,2,table,medications,10,ok
core,1,family_member,2,table,vital_readings,2,ok
core,1,primary_caregiver,1,table,care_appointments,12,ok
core,1,primary_caregiver,1,table,care_recipients,1,ok
core,1,primary_caregiver,1,table,care_tasks,36,ok
core,1,primary_caregiver,1,table,daily_care_logs,3,ok
core,1,primary_caregiver,1,table,doctors,1,ok
core,1,primary_caregiver,1,table,emergency_contacts,1,ok
core,1,primary_caregiver,1,table,family_visits,7,ok
core,1,primary_caregiver,1,table,medication_logs,21,ok
core,1,primary_caregiver,1,table,medication_schedules,11,ok
core,1,primary_caregiver,1,table,medications,10,ok
core,1,primary_caregiver,1,table,vital_readings,2,ok
core,1,remote_member,1,table,care_appointments,12,ok
core,1,remote_member,1,table,care_recipients,1,ok
core,1,remote_member,1,table,care_tasks,36,ok
core,1,remote_member,1,table,daily_care_logs,3,ok
core,1,remote_member,1,table,doctors,1,ok
core,1,remote_member,1,table,emergency_contacts,1,ok
core,1,remote_member,1,table,family_visits,7,ok
core,1,remote_member,1,table,medication_logs,21,ok
core,1,remote_member,1,table,medication_schedules,11,ok
core,1,remote_member,1,table,medications,10,ok
core,1,remote_member,1,table,vital_readings,2,ok
cron,1,admin,1,table,notification_outbox,-1,42501
cron,1,admin,1,table,notification_preferences,2,ok
cron,1,admin,1,table,notification_push_deliveries,-1,42501
cron,1,admin,1,table,notifications,478,ok
cron,1,admin,1,table,push_tokens,1,ok
cron,1,family_member,1,table,notification_outbox,-1,42501
cron,1,family_member,1,table,notification_preferences,1,ok
cron,1,family_member,1,table,notification_push_deliveries,-1,42501
cron,1,family_member,1,table,notifications,465,ok
cron,1,family_member,1,table,push_tokens,1,ok
cron,1,family_member,2,table,notification_outbox,-1,42501
cron,1,family_member,2,table,notification_preferences,1,ok
cron,1,family_member,2,table,notification_push_deliveries,-1,42501
cron,1,family_member,2,table,notifications,341,ok
cron,1,family_member,2,table,push_tokens,1,ok
cron,1,primary_caregiver,1,table,notification_outbox,-1,42501
cron,1,primary_caregiver,1,table,notification_preferences,0,ok
cron,1,primary_caregiver,1,table,notification_push_deliveries,-1,42501
cron,1,primary_caregiver,1,table,notifications,635,ok
cron,1,primary_caregiver,1,table,push_tokens,0,ok
cron,1,remote_member,1,table,notification_outbox,-1,42501
cron,1,remote_member,1,table,notification_preferences,0,ok
cron,1,remote_member,1,table,notification_push_deliveries,-1,42501
cron,1,remote_member,1,table,notifications,20,ok
cron,1,remote_member,1,table,push_tokens,0,ok
rpc,1,admin,1,rpc,can_view_all_operational,1,ok
rpc,1,admin,1,rpc,list_available_to_claim,7,ok
rpc,1,admin,1,rpc,list_care_activity,46,ok
rpc,1,admin,1,rpc,list_circle_invitations,4,ok
rpc,1,admin,1,rpc,list_circle_members,6,ok
rpc,1,family_member,1,rpc,can_view_all_operational,0,ok
rpc,1,family_member,1,rpc,list_available_to_claim,7,ok
rpc,1,family_member,1,rpc,list_care_activity,46,ok
rpc,1,family_member,1,rpc,list_circle_invitations,-1,42501
rpc,1,family_member,1,rpc,list_circle_members,6,ok
rpc,1,family_member,2,rpc,can_view_all_operational,0,ok
rpc,1,family_member,2,rpc,list_available_to_claim,7,ok
rpc,1,family_member,2,rpc,list_care_activity,46,ok
rpc,1,family_member,2,rpc,list_circle_invitations,-1,42501
rpc,1,family_member,2,rpc,list_circle_members,6,ok
rpc,1,primary_caregiver,1,rpc,can_view_all_operational,1,ok
rpc,1,primary_caregiver,1,rpc,list_available_to_claim,7,ok
rpc,1,primary_caregiver,1,rpc,list_care_activity,46,ok
rpc,1,primary_caregiver,1,rpc,list_circle_invitations,4,ok
rpc,1,primary_caregiver,1,rpc,list_circle_members,6,ok
rpc,1,remote_member,1,rpc,can_view_all_operational,1,ok
rpc,1,remote_member,1,rpc,list_available_to_claim,-1,42501
rpc,1,remote_member,1,rpc,list_care_activity,46,ok
rpc,1,remote_member,1,rpc,list_circle_invitations,-1,42501
rpc,1,remote_member,1,rpc,list_circle_members,6,ok
struct,1,admin,1,table,care_circles,1,ok
struct,1,admin,1,table,circle_invitations,0,ok
struct,1,admin,1,table,circle_members,6,ok
struct,1,admin,1,table,profiles,1,ok
struct,1,family_member,1,table,care_circles,1,ok
struct,1,family_member,1,table,circle_invitations,0,ok
struct,1,family_member,1,table,circle_members,6,ok
struct,1,family_member,1,table,profiles,1,ok
struct,1,family_member,2,table,care_circles,1,ok
struct,1,family_member,2,table,circle_invitations,0,ok
struct,1,family_member,2,table,circle_members,6,ok
struct,1,family_member,2,table,profiles,1,ok
struct,1,primary_caregiver,1,table,care_circles,1,ok
struct,1,primary_caregiver,1,table,circle_invitations,0,ok
struct,1,primary_caregiver,1,table,circle_members,6,ok
struct,1,primary_caregiver,1,table,profiles,1,ok
struct,1,remote_member,1,table,care_circles,1,ok
struct,1,remote_member,1,table,circle_invitations,0,ok
struct,1,remote_member,1,table,circle_members,6,ok
struct,1,remote_member,1,table,profiles,1,ok
