function,security,client,edgeUser,edgeSvc,policy,inFn,trigger,default,grants,policy_files,called_inside,client_sites,edge_sites
"accept_circle_invitation","definer","1","0","0","0","0","0","0","authenticated","","","src/features/invitations/api.ts:109  [supabase]",""
"account_deletion_preflight","definer","1","1","0","0","0","0","0","authenticated","","","src/features/account/api.ts:45  [supabase]","supabase/functions/delete-account/index.ts:65  [asUser]"
"active_circle_member_role","definer","0","0","0","0","23","0","0","authenticated","","create_circle_invitation revoke_circle_invitation list_circle_invitations list_circle_members update_circle_member_role update_circle_member_status","",""
"can_view_all_operational","definer","0","0","0","5","0","0","0","authenticated","deployment/dose-proof-storage.sql 20260626161000_backfill_phase_2d_responsibility_rls.sql","","",""
"circle_notification_recipients","definer","0","0","1","0","0","0","0","service_role","","","","supabase/functions/_shared/enqueue.ts:94  [sb]"
"claim_care_appointment","definer","1","0","0","0","1","0","0","authenticated","","claim_care_task","src/features/claiming/api.ts:61  [supabase]",""
"claim_care_task","definer","1","0","0","0","0","0","0","authenticated","","","src/features/claiming/api.ts:49  [supabase]",""
"claim_family_visit","definer","1","0","0","0","2","0","0","authenticated","","claim_care_task claim_care_appointment","src/features/claiming/api.ts:68  [supabase]",""
"claim_medication_responsibility","definer","1","0","0","0","3","0","0","authenticated","","claim_care_task claim_care_appointment claim_family_visit","src/features/claiming/api.ts:54  [supabase]",""
"claim_push_deliveries","definer","0","0","0","0","0","0","0","service_role","","","",""
"create_care_circle","definer","1","0","0","0","0","0","0","authenticated","","","src/features/care-circle/api.ts:41  [supabase]",""
"create_circle_invitation","definer","1","0","0","0","0","0","0","authenticated","","","src/features/invitations/api.ts:66  [supabase]",""
"daily_summary_recipients","definer","0","0","1","0","0","0","0","service_role","","","","supabase/functions/send-daily-summaries/index.ts:83  [sb]"
"deactivate_push_token","definer","1","0","0","0","0","0","0","authenticated","","","src/features/notifications/api.ts:197  [supabase]",""
"deactivate_push_token_by_id","definer","0","0","0","0","0","0","0","service_role","","","",""
"deactivate_push_token_value","definer","0","0","0","0","0","0","0","service_role","","","",""
"effective_notification_prefs","definer","0","0","0","0","8","0","0","service_role","","notification_recipient_eligible circle_notification_recipients fanout_due_notifications claim_push_deliveries notification_item_managers notification_recipients_for_item_event","",""
"enforce_care_task_collaborator_scope","definer","0","0","0","0","0","1","0","","","","",""
"enforce_family_visit_collaborator_scope","definer","0","0","0","0","0","1","0","","","","",""
"enqueue_notification","definer","0","0","1","0","0","0","0","service_role","","","","supabase/functions/_shared/enqueue.ts:167  [sb]"
"fanout_due_notifications","definer","0","0","0","0","0","0","0","service_role","","","",""
"generate_invitation_code","invoker(default)","0","0","0","0","2","0","0","","","create_circle_invitation","",""
"handle_new_user","definer","0","0","0","0","0","1","0","","","","",""
"has_circle_role","definer","0","0","0","64","13","0","0","","deployment/dose-proof-storage.sql 20260607033000_initial_core_schema.sql 20260608120000_create_emergency_contacts.sql 20260608120100_create_doctors.sql","enforce_care_task_collaborator_scope can_view_all_operational set_assigned_appointment_outcome enforce_family_visit_collaborator_scope claim_care_task claim_care_appointment","",""
"hash_invitation_code","invoker(default)","0","0","0","0","3","0","0","","","create_circle_invitation accept_circle_invitation","",""
"is_active_user_circle_member","definer","0","0","0","9","7","0","0","authenticated","20260610110000_harden_step_3_rls_membership_checks.sql 20260611120000_create_notifications_core.sql 20260626160000_backfill_phase_2a_assignment_columns.sql","enqueue_notification upsert_notification_preferences set_notification_read mark_all_notifications_read fanout_due_notifications claim_push_deliveries","",""
"is_circle_caregiver","definer","0","0","0","10","8","0","1","authenticated|service_role","20260726160000_caregiver_least_privilege_rls.sql","claim_care_task claim_care_appointment claim_family_visit claim_medication_responsibility list_available_to_claim set_assigned_appointment_outcome","",""
"is_circle_doctor","definer","0","0","0","4","0","0","0","authenticated","20260610110000_harden_step_3_rls_membership_checks.sql 20260626160000_backfill_phase_2a_assignment_columns.sql","","",""
